Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3348,JAPAN,2022,JPN,Philippines,Cebu-Mactan Bridge (4th Bridge) and Coastal Road Construction Project,1782289.887,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,795,JAPAN,2022,JPN,Djibouti,The Project for the Enhancement of Ability in Maritime Safety and Security,1814677.661,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1496,JAPAN,2021,JPN,Micronesia Federation,The Project for Enhancement of Capacity of the Fishery and Maritime Institute,1822257.048,,Committed,Bilateral,ODA,Grant,Adaptation,Other (Government and civil society),Government and civil society,No,No,,Other (Government and civil society),,,,,Government and civil society,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2264,JAPAN,2021,JPN,Papua New Guinea,The Economic and Social Development Programme_24,1822257.048,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4394,JAPAN,2022,JPN,Yemen,The Project for the Improvement of Efficiency in the Port of Aden,1841308.151,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,,Transport,,,,,,,,,
FRA-CTF-FTC-2024-V0.2-20241112-142707_vf FRANCE.xlsx,Table1_2022,96,FRANCE,2022,FRA,INDONESIA,MASTRAN - National urban public transport program ,1866283.929,,Committed,Bilateral,ODA,Loan,Adaptation,Infrastructure and urban development,21010,,,AFD-CID111701,Infrastructure and urban development,,,,,Transport policy and administrative management,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,110,AUSTRALIA,2021,AUS,Oceania,Response Package - Direct Financing,1875468.852,,Disbursed,Regional,ODA,Grant,Adaptation,"Other (Climate related budget support)
Cross-cutting
Other (Education)
Other (Government and civil society)
Other (Social infrastructure and services)
Other (Tourism)
Transport
Water and sanitation","51010
43072
11320
15220
16010
16020
16050
33210
21050
14030",,,,"Other (Climate related budget support)
Cross-cutting
Other (Education)
Other (Government and civil society)
Other (Social infrastructure and services)
Other (Tourism)
Transport
Water and sanitation",,,,,General budget support-related aid,Household food security programmes,Upper Secondary Education (modified and includes data from 11322),"Civilian peace-building, conflict prevention and resolution",Social Protection
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1342,JAPAN,2022,JPN,India,Core Staff Training for Key Operation and Maintenance Leaders of Mumbai - Ahmadabad High Speed Railway,1903584.205,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,961,JAPAN,2021,JPN,India,Capacity Development of the Construction of High Speed Railway Corridor (FY2020),1905499.116,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3171,JAPAN,2022,JPN,Paraguay,The Project for Procurement of Dredging Equipment for Paraguay River,1913590.909,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,213,AUSTRALIA,2021,AUS,Indonesia,ADB Sustainable Infrastructure Assistance Program Phase 2 (SIAP 2),1918172.976,,Disbursed,Bilateral,ODA,Grant,Mitigation,"Cross-cutting
Energy
Other (Communications)
Transport
Water and sanitation","43030
23110
22011
21010
14020",,,,"Cross-cutting
Energy
Other (Communications)
Transport
Water and sanitation",,,,,Urban development and management,Energy policy and administrative management,22011,Transport policy and administrative management,Water supply and sanitation - large systems
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,212,AUSTRALIA,2021,AUS,Indonesia,Indonesia Infrastructure Program (KIAT) Phase 1,1961133.393,,Disbursed,Bilateral,ODA,Grant,Mitigation,"Transport
Water and sanitation","21020
14021
14022",,,,"Transport
Water and sanitation",,,,,Road transport,Water supply - large systems,Sanitation - large systems,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,155,AUSTRALIA,2022,AUS,Papua New Guinea,Papua New Guinea Ports Project,2045761.399,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,21040,,,,Transport,,,,,Water transport,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3116,JAPAN,2021,JPN,Vietnam,Project on Strengthening Management Ability of Operation and Maintenance Company for the opening of Urban Railway Line 1 in Ho Chi Minh City_02,2058457.131,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,612,GERMANY,2021,DEU,Marshall Islands,"Low Carbon Sea Transport, 2021",2058824,,Committed,Bilateral,ODA,Grant,Mitigation,Energy,Agriculture,,,,Energy,,,,,Agriculture,,,,
Copy of Support Reporting Table CTF IRL IRELAND.xlsx,Table1_2022,251,IRELAND,2022,IRL,Somalia,"UNDP Multipartner Trust Fund OfficePooled Fund aligned to Somalia Sudan Humanitarian Response Plan covering 9 emergency clusters including camp cordination & management, education, food security, health, logistics, non food items & shelter, nutrition and protection.",2103270.586,,,Bilateral,ODA,Grant,Adaptation,Other (Humanitarian),72010,,,,Other (Humanitarian),,,,,Material relief assistance and services,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1807,GERMANY,2022,DEU,India,"Climate Friendly Energy Supply II (AM), BMZ-Nr. 2022.7008.0, 2022",2105263,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1988,GERMANY,2022,DEU,Serbia,"Promotion of an energy transition in the public sector (DKTI) – Accompanying Measure, BMZ-Nr. 2019.7013.6, 2022",2105263,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2235,GERMANY,2022,DEU,Peru,"Asignación tematica transporte urbano - medida complementaria, BMZ-Nr. 2022.7015.5, 2022",2105263,,Committed,Bilateral,ODA,Grant,Mitigation,Agriculture,Agriculture,,,,Agriculture,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2391,GERMANY,2022,DEU,Global,"Sustainable Water Policy, BMZ-Nr. 2020.2147.5, 2022",2105263,,Committed,Bilateral,ODA,Grant,Adaptation,Cross-cutting,Transport,,,,Cross-cutting,,,,,Transport,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2395,GERMANY,2022,DEU,Global,"International Forest Policy 2.0, BMZ-Nr. 2020.2206.9, 2022",2105263,,Committed,Bilateral,ODA,Grant,Mitigation,Forestry,Transport,,,,Forestry,,,,,Transport,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2407,GERMANY,2022,DEU,Global,"Collaborative Instruments for Ambitious Climate Action (CiACA), 2022",2105263,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Transport,,,,Transport,,,,,Transport,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2408,GERMANY,2022,DEU,Global,"Climate Vulnerable Forum and Vulnerable Twenty Fund (CVF & V20 Fund), 2022",2105263,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,Transport,,,,Water and sanitation,,,,,Transport,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2426,GERMANY,2022,DEU,Global,"eco.business Fund Latin America and the Caribbean IV Tranche 6 (VPT) (Accompanying Measure), BMZ-Nr. 2022.3660.2, 2022",2105263,,Committed,Bilateral,other,Grant,Cross-cutting,Transport,Transport,,,,Transport,,,,,Transport,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,162,AUSTRALIA,2021,AUS,Solomon Islands,Solomon Islands Infrastructure Program,2240400,,Disbursed,Bilateral,ODA,Grant,Adaptation,"Energy
Other (Communications)
Transport
Water and sanitation","23110
22011
21011
14010",,,,"Energy
Other (Communications)
Transport
Water and sanitation",,,,,Energy policy and administrative management,22011,21011,Water sector policy and administrative management,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,945,GERMANY,2021,DEU,–Latin America and the Caribbean,"Stability in crisis, strong for the future - Strengthening cooperative structures in Paraguay, Peru and Chile (CoopSur), BMZ-Nr. 2021.2600.1, 2021",2264706,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
FRA-CTF-FTC-2024-V0.2-20241112-142707_vf FRANCE.xlsx,Table1_2022,209,FRANCE,2022,FRA,UGANDA,GKMA UDP - Investment in services of mobility and drainage.,2278320,,Committed,Bilateral,ODA,Loan,Mitigation,Infrastructure and urban development,,,,AFD-CUG110902,Infrastructure and urban development,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,530,GERMANY,2021,DEU,India,"Indo-German Partnership for Green Urban Mobility III (accompanying measure), BMZ-Nr. 2021.7021.5, 2021",2352941,,Committed,Bilateral,ODA,Grant,Mitigation,Energy,Agriculture,,,,Energy,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,758,GERMANY,2021,DEU,–Latin America and the Caribbean,"Sustainable urban mobility in Central America, Accompanying measure, BMZ-Nr. 2021.7024.9, 2021",2352941,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,841,GERMANY,2021,DEU,–Latin America and the Caribbean,"Inclusive and sustainable smart cities in the framework of the 2030 Agenda for sustainable development in Latin America and the Caribbean, BMZ-Nr. 2019.2160.0, 2021",2352941,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,900,GERMANY,2021,DEU,Mexico,"FC-Program for the implementation of national climate protection targets in the Mexican transport sector (accompanying measure), BMZ-Nr. 2021.7023.1, 2021",2352941,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,1017,GERMANY,2021,DEU,Global,"Open Regional Fund for Southeast Europe - Energy, Transport and Climate Protection, BMZ-Nr. 2020.2209.3, 2021",2352941,,Committed,Bilateral,ODA,Grant,Mitigation,Energy,Agriculture,,,,Energy,,,,,Agriculture,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,205,AUSTRALIA,2021,AUS,Indonesia,Indonesia Infrastructure Program (KIAT) Phase 1,2396940.482,,Disbursed,Bilateral,ODA,Grant,Adaptation,"Transport
Water and Sanitation","21020
14021
14022",,,,"Transport
Water and Sanitation",,,,,Road transport,Water supply - large systems,Sanitation - large systems,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1715,JAPAN,2022,JPN,Kenya,Detailed Design Study for the Mombasa Gate Bridge Construction Project,2449740.429,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2401,GERMANY,2022,DEU,Global,"Funding for cooperative projects to enhance international scientific collaboration on climate protection financed by the Federal Ministry of Education and Research, 2022",2545113,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Transport,,,,Transport,,,,,Transport,,,,
ESP-CTF-FTC-2024-V0.3-20250529-090652_started SPAIN.xlsx,Table1_2022,36,SPAIN,2022,ESP,Thailand,Supply of PPVC pipe machinery and technology for water transportation,2550078.947,,Committed,Bilateral,OOF,Non-concessional loan,Adaptation,Water and sanitation,21040 Water transport,No,NR,Supported by the Corporate Internationalization Fund (FIEM),Water and sanitation,,,,,Water transport,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,65,AUSTRALIA,2021,AUS,Global,Infrastructure Development Fund,2558701.096,,Disbursed,Regional,ODA,Grant,Mitigation,"Cross-Cutting
Energy
Other (Banking and Financial Services) 
Other (Communications)
Transport
Water and Sanitation","43030
23110
24010
22011
21011
14020",,,,"Cross-Cutting
Energy
Other (Banking and Financial Services) 
Other (Communications)
Transport
Water and Sanitation",,,,,Urban development and management,Energy policy and administrative management,Financial policy and administrative management,22011,21011
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1619,GERMANY,2022,DEU,Zambia,"Linking Farmers to Markets through Improvement of Rural Roads, BMZ-Nr. 2016.6733.6, 2022",2631579,,Committed,Bilateral,ODA,Grant,Adaptation,Cross-cutting,Agriculture,,,,Cross-cutting,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2286,GERMANY,2022,DEU,Global,"E-Mobility as a Driver for Change - Towards a gender transformative and just transition to electric mobility, BMZ-Nr. 2022.3415.1, 2022",2631579,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2410,GERMANY,2022,DEU,Global,"Supporting PAGE countries on Green Economic Recovery from Covid-19, 2022",2631579,,Committed,Bilateral,ODA,Grant,Mitigation,Water and sanitation,Transport,,,,Water and sanitation,,,,,Transport,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2411,GERMANY,2022,DEU,Global,"Acceleration of the V20 Sustainable Insurance Facility (SIF) and V20 Support in the Global Shield, BMZ-Nr. 2021.3409.6, 2022",2631579,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,Transport,,,,Transport,,,,,Transport,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,225,AUSTRALIA,2022,AUS,Indonesia,Indonesia Infrastructure Program (KIAT) Phase 1,2653905.591,,Disbursed,Bilateral,ODA,Grant,Adaptation,"Transport
Water and Sanitation","21020
14021
14022",,,,"Transport
Water and Sanitation",,,,,Road transport,Water supply - large systems,Sanitation - large systems,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,174,AUSTRALIA,2022,AUS,Solomon Islands,Solomon Islands Infrastructure Program,2700650.585,,Disbursed,Bilateral,ODA,Grant,Adaptation,"Energy
Other (Communications)
Transport
Water and sanitation","23110
22011
21011
14010",,,,"Energy
Other (Communications)
Transport
Water and sanitation",,,,,Energy policy and administrative management,22011,21011,Water sector policy and administrative management,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1714,JAPAN,2022,JPN,Kenya,Detailed Design for the Mombasa Special Economic Zone Development Project,2728553.515,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,843,JAPAN,2021,JPN,Guatemala,The Economic and Social Development Programme_11,2733385.571,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2448,JAPAN,2022,JPN,Multiple countries in Subsahara,Enhancing the COVID-19 Response in Sub-Saharan Africa by Building Temperature Sensitive Logistics Capacities & Capabilities,2811111,,Disbursed,Regional,ODA,Grant,Cross-cutting,Other (Health and population),Health and population,Yes,No,Exchange rate is determined based on the date of committement,Other (Health and population),,,,,Health and population,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,681,GERMANY,2021,DEU,Serbia,"Low Carbon Energy Fazilitaet (DKTI) - grants for final beneficiaries, BMZ-Nr. 2021.6879.7, 2021",2941176,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
EUU-CTF-FTC-2024-V0.6-20241217 EU.xlsx,Table1_2022,191,EU,2022,,Benin,Convention de Délégation- Action au Port,2947368.421,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,210: Transport and storage,UA (1),UA (1),L'objectif de l'action sera atteint à travers deux sous objectifs.  Améliorer la compétitivité du secteur portuaire à travers l'amélioration du climat des affaires et le renforcement de la compétence des acteurs para portuaire.  Amorçer le développement d'une économie bleue.,Transport,,,,,210: Transport and storage,,,,
FRA-CTF-FTC-2024-V0.2-20241112-142707_vf FRANCE.xlsx,Table1_2021,204,FRANCE,2021,FRA,SENEGAL,"Bus Dakar-Efficient, inclusive, safe and low-carbon mobility system",2959250,,Committed,Bilateral,ODA,Grant,Mitigation,Infrastructure and urban development, ,,,AFD-CSN155205,Infrastructure and urban development,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1852,JAPAN,2022,JPN,Laos,The Economic and Social Development Programme_08,3043484.546,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2420,GERMANY,2022,DEU,Global,"Cool Contributions fighting Climate Change II (C4 II), 2022",3052632,,Committed,Bilateral,ODA,Grant,Mitigation,Water and sanitation,Transport,,,,Water and sanitation,,,,,Transport,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1637,GERMANY,2022,DEU,–South-eastern Asia,"Financing a Green Recovery in the ASEAN region , BMZ-Nr. 2022.2103.4, 2022",3157895,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2390,GERMANY,2022,DEU,Global,"SV Klima, BMZ-Nr. 2018.2105.7, 2022",3157895,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,Transport,,,,Water and sanitation,,,,,Transport,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,60,AUSTRALIA,2022,AUS,Global,Private Infrastructure Development Group,3335413.9,,Disbursed,Regional,ODA,Grant,Mitigation,"Energy
Other (Communications)
Transport
Water and sanitation","23210
22020
21010
21020
14021
14030",Yes,,,"Energy
Other (Communications)
Transport
Water and sanitation",,,,,"Energy generation, renewable sources - multiple technologies",Telecommunications,Transport policy and administrative management,Road transport,Water supply - large systems
